src_player,dest_gameid,relation
720189:Lehends,720189,PLAYED_IN
720196:Sword,720196,PLAYED_IN
720196:Tarzan,720196,PLAYED_IN
720196:Chovy,720196,PLAYED_IN
720196:Viper,720196,PLAYED_IN
720196:Lehends,720196,PLAYED_IN
720196:Lindarang,720196,PLAYED_IN
720196:SeongHwan,720196,PLAYED_IN
720196:Lava,720196,PLAYED_IN
720196:Sangyoon,720196,PLAYED_IN
720196:Key,720196,PLAYED_IN
730255:Khan,730255,PLAYED_IN
730255:Cuzz,730255,PLAYED_IN
730255:Bdd,730255,PLAYED_IN
730255:PraY,730255,PLAYED_IN
730255:GorillA,730255,PLAYED_IN
730255:CuVee,730255,PLAYED_IN
730255:Ambition,730255,PLAYED_IN
730255:Fly,730255,PLAYED_IN
730255:Ruler,730255,PLAYED_IN
730255:CoreJJ,730255,PLAYED_IN
730255:Tay,730255,PLAYED_IN
730255:Shini,730255,PLAYED_IN
730255:Envy,730255,PLAYED_IN
730255:Absolut,730255,PLAYED_IN
730255:RedBert,730255,PLAYED_IN
730255:Yang,730255,PLAYED_IN
730255:Revolta,730255,PLAYED_IN
730255:tockers,730255,PLAYED_IN
730255:micaO,730255,PLAYED_IN
730255:Jockster,730255,PLAYED_IN
730267:CuVee,730267,PLAYED_IN
730267:Haru,730267,PLAYED_IN
730267:Fly,730267,PLAYED_IN
730267:Ruler,730267,PLAYED_IN
730267:CoreJJ,730267,PLAYED_IN
730267:Khan,730267,PLAYED_IN
730267:Cuzz,730267,PLAYED_IN
730267:Bdd,730267,PLAYED_IN
730267:PraY,730267,PLAYED_IN
730267:GorillA,730267,PLAYED_IN
730273:Khan,730273,PLAYED_IN
730273:Cuzz,730273,PLAYED_IN
730273:Bdd,730273,PLAYED_IN
730273:PraY,730273,PLAYED_IN
730273:GorillA,730273,PLAYED_IN
730273:CuVee,730273,PLAYED_IN
730273:Haru,730273,PLAYED_IN
730273:Fly,730273,PLAYED_IN
730273:Ruler,730273,PLAYED_IN
730273:CoreJJ,730273,PLAYED_IN
730277:Kiin,730277,PLAYED_IN
730277:Spirit,730277,PLAYED_IN
730277:Kuro,730277,PLAYED_IN
730277:Aiming,730277,PLAYED_IN
730277:TusiN,730277,PLAYED_IN
730277:Thal,730277,PLAYED_IN
730277:Blank,730277,PLAYED_IN
730277:Faker,730277,PLAYED_IN
730277:Bang,730277,PLAYED_IN
730277:Wolf,730277,PLAYED_IN
730298:Thal,730298,PLAYED_IN
730298:Blank,730298,PLAYED_IN
730298:Faker,730298,PLAYED_IN
730298:Bang,730298,PLAYED_IN
730298:Wolf,730298,PLAYED_IN
730298:Kiin,730298,PLAYED_IN
730298:Spirit,730298,PLAYED_IN
730298:Kuro,730298,PLAYED_IN
730298:Aiming,730298,PLAYED_IN
730298:TusiN,730298,PLAYED_IN
730300:Smeb,730300,PLAYED_IN
730300:Rush,730300,PLAYED_IN
730300:Ucal,730300,PLAYED_IN
730300:Deft,730300,PLAYED_IN
730300:Mata,730300,PLAYED_IN
730300:SoHwan,730300,PLAYED_IN
730300:UmTi,730300,PLAYED_IN
730300:Grace,730300,PLAYED_IN
730300:Teddy,730300,PLAYED_IN
730300:Nova,730300,PLAYED_IN
730320:SoHwan,730320,PLAYED_IN
730320:UmTi,730320,PLAYED_IN
730320:Grace,730320,PLAYED_IN
730320:Teddy,730320,PLAYED_IN
730320:Nova,730320,PLAYED_IN
730320:Smeb,730320,PLAYED_IN
730320:Rush,730320,PLAYED_IN
730320:Ucal,730320,PLAYED_IN
730320:Deft,730320,PLAYED_IN
730320:Mata,730320,PLAYED_IN
730427:Lindarang,730427,PLAYED_IN
730427:SeongHwan,730427,PLAYED_IN
730427:Lava,730427,PLAYED_IN
730427:Sangyoon,730427,PLAYED_IN
730427:Key,730427,PLAYED_IN
730427:Crazy,730427,PLAYED_IN
730427:Bono,730427,PLAYED_IN
730427:Tempt,730427,PLAYED_IN
730427:Aries,730427,PLAYED_IN
730427:IgNar,730427,PLAYED_IN
730432:Crazy,730432,PLAYED_IN
730432:Bono,730432,PLAYED_IN
730432:Tempt,730432,PLAYED_IN
730432:Aries,730432,PLAYED_IN
730432:IgNar,730432,PLAYED_IN
730432:Lindarang,730432,PLAYED_IN
730432:SeongHwan,730432,PLAYED_IN
730432:Lava,730432,PLAYED_IN
730432:Sangyoon,730432,PLAYED_IN
730432:Key,730432,PLAYED_IN
730434:ADD,730434,PLAYED_IN
730434:Yondu,730434,PLAYED_IN
730434:Ian,730434,PLAYED_IN
730434:MaHa,730434,PLAYED_IN
730434:Max,730434,PLAYED_IN
730434:Sword,730434,PLAYED_IN
730434:Tarzan,730434,PLAYED_IN
730434:Rather,730434,PLAYED_IN
730434:Viper,730434,PLAYED_IN
730434:Lehends,730434,PLAYED_IN
730434:Broken Blade,730434,PLAYED_IN
730434:Closer,730434,PLAYED_IN
730434:Abbedagge,730434,PLAYED_IN
730434:Freeze,730434,PLAYED_IN
730434:Dumbledoge,730434,PLAYED_IN
730434:Hioss,730434,PLAYED_IN
730434:Wisdom,730434,PLAYED_IN
730434:Naru,730434,PLAYED_IN
730434:Rain,730434,PLAYED_IN
730434:Rogu,730434,PLAYED_IN
730459:Sword,730459,PLAYED_IN
730459:Tarzan,730459,PLAYED_IN
730459:Chovy,730459,PLAYED_IN
730459:Viper,730459,PLAYED_IN
730459:Lehends,730459,PLAYED_IN
730459:ADD,730459,PLAYED_IN
730459:Yondu,730459,PLAYED_IN
730459:Ian,730459,PLAYED_IN
730459:Pilot,730459,PLAYED_IN
730459:Motive,730459,PLAYED_IN
1002530085:Odoamne,1002530085,PLAYED_IN
1002530085:Xerxe,1002530085,PLAYED_IN
1002530085:Nisqy,1002530085,PLAYED_IN
1002530085:Kobbe,1002530085,PLAYED_IN
1002530085:kaSing,1002530085,PLAYED_IN
1002530085:Cabochard,1002530085,PLAYED_IN
1002530085:Gilius,1002530085,PLAYED_IN
1002530085:Jiizuke,1002530085,PLAYED_IN
1002530085:Attila,1002530085,PLAYED_IN
1002530085:Jactroll,1002530085,PLAYED_IN
1002530088:Smittyj,1002530088,PLAYED_IN
1002530088:Shook,1002530088,PLAYED_IN
1002530088:Selfie,1002530088,PLAYED_IN
1002530088:Sheriff,1002530088,PLAYED_IN
1002530088:promisq,1002530088,PLAYED_IN
1002530088:Ruin,1002530088,PLAYED_IN
1002530088:Djoko,1002530088,PLAYED_IN
1002530088:Betsy,1002530088,PLAYED_IN
1002530088:Steeelback,1002530088,PLAYED_IN
1002530088:SirNukesAlot,1002530088,PLAYED_IN
1002530090:Vizicsacsi,1002530090,PLAYED_IN
1002530090:Amazing,1002530090,PLAYED_IN
1002530090:Nukeduck,1002530090,PLAYED_IN
1002530090:Upset,1002530090,PLAYED_IN
1002530090:Vander,1002530090,PLAYED_IN
1002530090:WhiteKnight,1002530090,PLAYED_IN
1002530090:Kold,1002530090,PLAYED_IN
1002530090:Exileh,1002530090,PLAYED_IN
1002530090:Samux,1002530090,PLAYED_IN
1002530090:Totoro,1002530090,PLAYED_IN
1002530092:Wunder,1002530092,PLAYED_IN
1002530092:Jankos,1002530092,PLAYED_IN
1002530092:Perkz,1002530092,PLAYED_IN
1002530092:Hjarnan,1002530092,PLAYED_IN
1002530092:Wadid,1002530092,PLAYED_IN
1002530092:Profit,1002530092,PLAYED_IN
1002530092:Memento,1002530092,PLAYED_IN
1002530092:Blanc,1002530092,PLAYED_IN
1002530092:HeaQ,1002530092,PLAYED_IN
1002530092:Norskeren,1002530092,PLAYED_IN
1002530095:sOAZ,1002530095,PLAYED_IN
1002530095:Broxah,1002530095,PLAYED_IN
1002530095:Caps,1002530095,PLAYED_IN
1002530095:Rekkles,1002530095,PLAYED_IN
1002530095:Hylissang,1002530095,PLAYED_IN
1002530095:Alphari,1002530095,PLAYED_IN
1002530095:Maxlore,1002530095,PLAYED_IN
1002530095:Sencux,1002530095,PLAYED_IN
1002530095:Hans Sama,1002530095,PLAYED_IN
1002530095:Mikyx,1002530095,PLAYED_IN
720640:SoHwan,720640,PLAYED_IN
720640:UmTi,720640,PLAYED_IN
720640:Grace,720640,PLAYED_IN
720640:Teddy,720640,PLAYED_IN
720640:Nova,720640,PLAYED_IN
720640:Khan,720640,PLAYED_IN
720640:Cuzz,720640,PLAYED_IN
720640:Bdd,720640,PLAYED_IN
720640:PraY,720640,PLAYED_IN
720640:GorillA,720640,PLAYED_IN
720646:Khan,720646,PLAYED_IN
720646:Peanut,720646,PLAYED_IN
720646:Bdd,720646,PLAYED_IN
720646:PraY,720646,PLAYED_IN
720646:GorillA,720646,PLAYED_IN
720646:SoHwan,720646,PLAYED_IN
720646:UmTi,720646,PLAYED_IN
720646:Grace,720646,PLAYED_IN
720646:Teddy,720646,PLAYED_IN
720646:Nova,720646,PLAYED_IN
720648:SoHwan,720648,PLAYED_IN
720648:KaKAO,720648,PLAYED_IN
720648:Grace,720648,PLAYED_IN
720648:Teddy,720648,PLAYED_IN
720648:Nova,720648,PLAYED_IN
720648:Khan,720648,PLAYED_IN
720648:Peanut,720648,PLAYED_IN
720648:Bdd,720648,PLAYED_IN
720648:PraY,720648,PLAYED_IN
720648:GorillA,720648,PLAYED_IN
720662:CuVee,720662,PLAYED_IN
720662:Haru,720662,PLAYED_IN
720662:Fly,720662,PLAYED_IN
720662:Ruler,720662,PLAYED_IN
720662:CoreJJ,720662,PLAYED_IN
720662:Thal,720662,PLAYED_IN
