player,win
1002530088:SirNukesAlot,1
1002530090:Vizicsacsi,1
1002530090:Amazing,1
1002530090:Nukeduck,1
1002530090:Upset,1
1002530090:Vander,1
1002530090:WhiteKnight,0
1002530090:Kold,0
1002530090:Exileh,0
1002530090:Samux,0
1002530090:Totoro,0
1002530092:Wunder,1
1002530092:Jankos,1
1002530092:Perkz,1
1002530092:Hjarnan,1
1002530092:Wadid,1
1002530092:Profit,0
1002530092:Memento,0
1002530092:Blanc,0
1002530092:HeaQ,0
1002530092:Norskeren,0
1002530095:sOAZ,0
1002530095:Broxah,0
1002530095:Caps,0
1002530095:Rekkles,0
1002530095:Hylissang,0
1002530095:Alphari,1
1002530095:Maxlore,1
1002530095:Sencux,1
1002530095:Hans Sama,1
1002530095:Mikyx,1
720640:SoHwan,1
720640:UmTi,1
720640:Grace,1
720640:Teddy,1
720640:Nova,1
720640:Khan,0
720640:Cuzz,0
720640:Bdd,0
720640:PraY,0
720640:GorillA,0
720646:Khan,1
720646:Peanut,1
720646:Bdd,1
720646:PraY,1
720646:GorillA,1
720646:SoHwan,0
720646:UmTi,0
720646:Grace,0
720646:Teddy,0
720646:Nova,0
720648:SoHwan,0
720648:KaKAO,0
720648:Grace,0
720648:Teddy,0
720648:Nova,0
720648:Khan,1
720648:Peanut,1
720648:Bdd,1
720648:PraY,1
720648:GorillA,1
720662:CuVee,1
720662:Haru,1
720662:Fly,1
720662:Ruler,1
720662:CoreJJ,1
720662:Thal,0
720662:Blossom,0
720662:Faker,0
720662:Bang,0
720662:Wolf,0
720686:Thal,0
720686:Blossom,0
720686:Faker,0
720686:Bang,0
720686:Wolf,0
720686:CuVee,1
720686:Haru,1
720686:Fly,1
720686:Ruler,1
720686:CoreJJ,1
690233:PieCakeLord,0
690233:MikeYeung,0
690233:Ablazeolive,0
690233:MrRallez,0
690233:Shady,0
690233:FallnBandit,1
690233:Wiggily,1
690233:Tuesday,1
690233:Auto,1
690233:Fill,1
690235:V1per,1
690235:Hard,1
690235:Insanity,1
690235:Shoryu,1
690235:Joey,1
690235:NintendudeX,0
690235:OddOrange,0
690235:Yusui,0
690235:Lost,0
690235:Adrian,0
690237:Shiro,1
690237:Blaber,1
690237:Jensen,1
690237:Sneaky,1
690237:Smoothie,1
690237:Ngo,0
690237:AnDa,0
690237:Pekin Woof,0
690237:Erry,0
690237:JayJ,0
690249:Brandini,0
690249:Levi,0
690249:Linsanity,0
690249:Rikara,0
690249:Stunt,0
690249:Dhokla,1
690249:Fanatiik,1
690249:Palafox,1
690249:Eclipse,1
690249:Gate,1
690250:Maxtrobo,0
690250:Moon,0
690250:Sun,0
690250:Piglet,0
690250:Vulcan,0
690250:zig,1
690250:Potluck,1
690250:bobqin,1
690250:Benji,1
690250:Sheep,1
700291:NintendudeX,0
700291:OddOrange,0
700291:Yusui,0
700291:Lost,0
700291:Adrian,0
700291:Ngo,1
700291:AnDa,1
700291:Pekin Woof,1
700291:Erry,1
700291:JayJ,1
700295:FallnBandit,1
700295:Wiggily,1
700295:Tuesday,1
700295:Auto,1
700295:Fill,1
700295:Shiro,0
700295:Blaber,0
700295:Jensen,0
700295:Sneaky,0
700295:Smoothie,0
700299:zig,0
700299:Potluck,0
700299:bobqin,0
700299:Benji,0
700299:Sheep,0
700299:Brandini,1
700299:Levi,1
700299:Linsanity,1
700299:Rikara,1
700299:Stunt,1
700301:Dhokla,1
700301:Fanatiik,1
700301:Palafox,1
700301:Eclipse,1
700301:Gate,1
700301:Maxtrobo,0
700301:Moon,0
700301:Sun,0
700301:Piglet,0
700301:Vulcan,0
700303:PieCakeLord,0
700303:MikeYeung,0
700303:Ablazeolive,0
700303:MrRallez,0
700303:Shady,0
700303:V1per,1
700303:Hard,1
700303:Insanity,1
700303:Shoryu,1
700303:Joey,1
1002530107:Profit,1
1002530107:Memento,1
1002530107:Blanc,1
1002530107:HeaQ,1
1002530107:Norskeren,1
1002530107:Smittyj,0
1002530107:Shook,0
1002530107:Selfie,0
1002530107:Sheriff,0
1002530107:promisq,0
1002540168:Alphari,1
1002540168:Maxlore,1
1002540168:Sencux,1
1002540168:Hans Sama,1
1002540168:Mikyx,1
1002540168:WhiteKnight,0
1002540168:Kold,0
1002540168:Exileh,0
1002540168:Samux,0
1002540168:Totoro,0
1002530128:Cabochard,1
1002530128:Gilius,1
1002530128:Jiizuke,1
1002530128:Attila,1
1002530128:Jactroll,1
1002530128:Ruin,0
1002530128:Djoko,0
1002530128:Betsy,0
1002530128:Steeelback,0
1002530128:SirNukesAlot,0
1002540191:Bwipo,1
1002540191:Broxah,1
1002540191:Caps,1
1002540191:Rekkles,1
1002540191:Hylissang,1
1002540191:Vizicsacsi,0
1002540191:Amazing,0
1002540191:Nukeduck,0
1002540191:Upset,0
1002540191:Vander,0
1002540201:Wunder,1
1002540201:Jankos,1
1002540201:Perkz,1
1002540201:Hjarnan,1
1002540201:Wadid,1
1002540201:Odoamne,0
1002540201:Xerxe,0
1002540201:Nisqy,0
1002540201:Kobbe,0
1002540201:kaSing,0
1002620023:Impact,1
1002620023:Xmithie,1
1002620023:Pobelter,1
1002620023:Doublelift,1
1002620023:Olleh,1
1002620023:Ssumday,0
1002620023:Meteos,0
1002620023:Ryu,0
1002620023:Cody Sun,0
1002620023:aphromoo,0
1002620033:Hauntzer,1
1002620033:Grig,1
1002620033:Bjergsen,1
1002620033:Zven,1
1002620033:Mithy,1
1002620033:Darshan,0
1002620033:Reignover,0
1002620033:huhi,0
1002620033:Stixxay,0
1002620033:Biofrost,0
1002620042:Solo,1
1002620042:LirA,1
1002620042:Febiven,1
1002620042:Apollo,1
1002620042:Hakuho,1
1002620042:Licorice,0
1002620042:Svenskeren,0
1002620042:Goldenglue,0
1002620042:Keith,0
1002620042:Zeyzal,0
1002620060:Lourlo,0
1002620060:Contractz,0
1002620060:Mickey,0
1002620060:Deftly,0
1002620060:Matt,0
1002620060:Dhokla,1
1002620060:Akaadian,1
1002620060:PowerOfEvil,1
1002620060:Arrow,1
1002620060:BIG,1
720742:Kiin,1
720742:Spirit,1
720742:Kuro,1
720742:Kramer,1
720742:TusiN,1
720742:Smeb,0
720742:Score,0
720742:Ucal,0
720742:Deft,0
720742:Mata,0
720750:Smeb,1
720750:Score,1
720750:Ucal,1
720750:Deft,1
720750:Mata,1
720750:Kiin,0
720750:Spirit,0
720750:Kuro,0
720750:Kramer,0
720750:TusiN,0
720755:Kiin,1
720755:Spirit,1
720755:Kuro,1
720755:Aiming,1
720755:TusiN,1
720755:Smeb,0
720755:Rush,0
720755:Ucal,0
720755:Deft,0
720755:Mata,0
720765:Crazy,0
720765:Trick,0
720765:Tempt,0
720765:Ghost,0
720765:IgNar,0
720765:Sword,1
720765:Tarzan,1
720765:Rather,1
720765:Viper,1
720765:Lehends,1
720790:Sword,0
720790:Tarzan,0
720790:Chovy,0
720790:Viper,0
720790:Lehends,0
720790:Crazy,1
720790:Trick,1
720790:Tempt,1
720790:Ghost,1
720790:IgNar,1
720796:Crazy,0
720796:Trick,0
720796:Tempt,0
720796:Ghost,0
720796:IgNar,0
720796:Sword,1
720796:Tarzan,1
720796:Chovy,1
720796:Viper,1
720796:Lehends,1
720863:ADD,0
720863:Yondu,0
720863:Ian,0
720863:Pilot,0
720863:Max,0
720863:CuVee,1
720863:Haru,1
720863:Fly,1
720863:Ruler,1
720863:CoreJJ,1
720877:CuVee,1
720877:Haru,1
720877:Fly,1
720877:Ruler,1
720877:CoreJJ,1
720877:ADD,0
720877:Yondu,0
720877:Ian,0
720877:Pilot,0
720877:Max,0
720884:SoHwan,0
720884:UmTi,0
720884:Grace,0
720884:Teddy,0
720884:Nova,0
720884:Lindarang,1
720884:SeongHwan,1
720884:Lava,1
720884:Sangyoon,1
720884:Key,1
1002620071:Hauntzer,1
1002620071:Grig,1
1002620071:Bjergsen,1
1002620071:Zven,1
1002620071:Mithy,1
1002620071:Flame,0
1002620071:Santorin,0
1002620071:Keane,0
1002620071:WILDTURTLE,0
1002620071:Kwon,0
1002620082:Impact,0
1002620082:Xmithie,0
1002620082:Pobelter,0
1002620082:Doublelift,0
1002620082:Olleh,0
1002620082:Lourlo,1
1002620082:Contractz,1
1002620082:Mickey,1
1002620082:Deftly,1
1002620082:Matt,1
1002620096:Darshan,1
1002620096:Reignover,1
1002620096:huhi,1
1002620096:Stixxay,1
1002620096:Biofrost,1
1002620096:Ssumday,0
