src_player,dest_position,relation
720189:Sangyoon,ADC,HAS_POSITION
720189:Key,Support,HAS_POSITION
720189:Sword,Top,HAS_POSITION
720189:Tarzan,Jungle,HAS_POSITION
720189:Chovy,Middle,HAS_POSITION
720189:Viper,ADC,HAS_POSITION
720189:Lehends,Support,HAS_POSITION
720196:Sword,Top,HAS_POSITION
720196:Tarzan,Jungle,HAS_POSITION
720196:Chovy,Middle,HAS_POSITION
720196:Viper,ADC,HAS_POSITION
720196:Lehends,Support,HAS_POSITION
720196:Lindarang,Top,HAS_POSITION
720196:SeongHwan,Jungle,HAS_POSITION
720196:Lava,Middle,HAS_POSITION
720196:Sangyoon,ADC,HAS_POSITION
720196:Key,Support,HAS_POSITION
730255:Khan,Top,HAS_POSITION
730255:Cuzz,Jungle,HAS_POSITION
730255:Bdd,Middle,HAS_POSITION
730255:PraY,ADC,HAS_POSITION
730255:GorillA,Support,HAS_POSITION
730255:CuVee,Top,HAS_POSITION
730255:Ambition,Jungle,HAS_POSITION
730255:Fly,Middle,HAS_POSITION
730255:Ruler,ADC,HAS_POSITION
730255:CoreJJ,Support,HAS_POSITION
730255:Tay,Top,HAS_POSITION
730255:Shini,Jungle,HAS_POSITION
730255:Envy,Middle,HAS_POSITION
730255:Absolut,ADC,HAS_POSITION
730255:RedBert,Support,HAS_POSITION
730255:Yang,Top,HAS_POSITION
730255:Revolta,Jungle,HAS_POSITION
730255:tockers,Middle,HAS_POSITION
730255:micaO,ADC,HAS_POSITION
730255:Jockster,Support,HAS_POSITION
730267:CuVee,Top,HAS_POSITION
730267:Haru,Jungle,HAS_POSITION
730267:Fly,Middle,HAS_POSITION
730267:Ruler,ADC,HAS_POSITION
730267:CoreJJ,Support,HAS_POSITION
730267:Khan,Top,HAS_POSITION
730267:Cuzz,Jungle,HAS_POSITION
730267:Bdd,Middle,HAS_POSITION
730267:PraY,ADC,HAS_POSITION
730267:GorillA,Support,HAS_POSITION
730273:Khan,Top,HAS_POSITION
730273:Cuzz,Jungle,HAS_POSITION
730273:Bdd,Middle,HAS_POSITION
