src_player,dest_champion,relation
720143:Ian,Irelia,HAS_CHAMPION
720143:Pilot,Lucian,HAS_CHAMPION
720143:Max,Leona,HAS_CHAMPION
720143:Crazy,Ornn,HAS_CHAMPION
720143:Bono,Trundle,HAS_CHAMPION
720143:Tempt,Zoe,HAS_CHAMPION
720143:Aries,Ezreal,HAS_CHAMPION
720143:IgNar,Rakan,HAS_CHAMPION
730202:Sword,Ornn,HAS_CHAMPION
730202:Tarzan,Camille,HAS_CHAMPION
730202:Rather,Lulu,HAS_CHAMPION
730202:Viper,Ryze,HAS_CHAMPION
730202:Lehends,Shen,HAS_CHAMPION
730202:Lindarang,Darius,HAS_CHAMPION
730202:SeongHwan,Elise,HAS_CHAMPION
730202:Lava,Yasuo,HAS_CHAMPION
730202:Sangyoon,Vladimir,HAS_CHAMPION
730202:Key,Fiddlesticks,HAS_CHAMPION
720189:Lindarang,Gangplank,HAS_CHAMPION
720189:SeongHwan,Trundle,HAS_CHAMPION
720189:Lava,Irelia,HAS_CHAMPION
720189:Sangyoon,Vladimir,HAS_CHAMPION
720189:Key,Janna,HAS_CHAMPION
720189:Sword,Shen,HAS_CHAMPION
720189:Tarzan,Nocturne,HAS_CHAMPION
720189:Chovy,Yasuo,HAS_CHAMPION
720189:Viper,Ryze,HAS_CHAMPION
720189:Lehends,Soraka,HAS_CHAMPION
720196:Sword,Dr. Mundo,HAS_CHAMPION
720196:Tarzan,Nocturne,HAS_CHAMPION
720196:Chovy,Zoe,HAS_CHAMPION
720196:Viper,Vladimir,HAS_CHAMPION
720196:Lehends,Morgana,HAS_CHAMPION
720196:Lindarang,Darius,HAS_CHAMPION
720196:SeongHwan,Trundle,HAS_CHAMPION
720196:Lava,Irelia,HAS_CHAMPION
720196:Sangyoon,Ezreal,HAS_CHAMPION
720196:Key,Kennen,HAS_CHAMPION
730255:Khan,Jayce,HAS_CHAMPION
730255:Cuzz,Xin Zhao,HAS_CHAMPION
730255:Bdd,Zoe,HAS_CHAMPION
730255:PraY,Mordekaiser,HAS_CHAMPION
730255:GorillA,Alistar,HAS_CHAMPION
730255:CuVee,Ornn,HAS_CHAMPION
730255:Ambition,Skarner,HAS_CHAMPION
730255:Fly,Lulu,HAS_CHAMPION
730255:Ruler,KogMaw,HAS_CHAMPION
730255:CoreJJ,Braum,HAS_CHAMPION
730255:Tay,Kennen,HAS_CHAMPION
730255:Shini,Camille,HAS_CHAMPION
730255:Envy,Galio,HAS_CHAMPION
730255:Absolut,Renekton,HAS_CHAMPION
730255:RedBert,Lulu,HAS_CHAMPION
730255:Yang,Darius,HAS_CHAMPION
730255:Revolta,Taliyah,HAS_CHAMPION
730255:tockers,Yasuo,HAS_CHAMPION
730255:micaO,Mordekaiser,HAS_CHAMPION
730255:Jockster,Ornn,HAS_CHAMPION
730267:CuVee,Chogath,HAS_CHAMPION
730267:Haru,Camille,HAS_CHAMPION
730267:Fly,Lulu,HAS_CHAMPION
730267:Ruler,Ezreal,HAS_CHAMPION
730267:CoreJJ,Tahm Kench,HAS_CHAMPION
730267:Khan,Darius,HAS_CHAMPION
730267:Cuzz,Nocturne,HAS_CHAMPION
730267:Bdd,Aurelion Sol,HAS_CHAMPION
730267:PraY,Mordekaiser,HAS_CHAMPION
730267:GorillA,Shen,HAS_CHAMPION
730273:Khan,Vladimir,HAS_CHAMPION
730273:Cuzz,Graves,HAS_CHAMPION
730273:Bdd,Karthus,HAS_CHAMPION
730273:PraY,Mordekaiser,HAS_CHAMPION
730273:GorillA,Alistar,HAS_CHAMPION
730273:CuVee,Gangplank,HAS_CHAMPION
730273:Haru,Xin Zhao,HAS_CHAMPION
730273:Fly,Aurelion Sol,HAS_CHAMPION
730273:Ruler,Ezreal,HAS_CHAMPION
730273:CoreJJ,Tahm Kench,HAS_CHAMPION
730277:Kiin,Aatrox,HAS_CHAMPION
730277:Spirit,Nocturne,HAS_CHAMPION
730277:Kuro,LeBlanc,HAS_CHAMPION
730277:Aiming,Vladimir,HAS_CHAMPION
730277:TusiN,Shen,HAS_CHAMPION
730277:Thal,Darius,HAS_CHAMPION
730277:Blank,Skarner,HAS_CHAMPION
730277:Faker,Yasuo,HAS_CHAMPION
730277:Bang,Lulu,HAS_CHAMPION
730277:Wolf,Alistar,HAS_CHAMPION
730298:Thal,Gangplank,HAS_CHAMPION
730298:Blank,Skarner,HAS_CHAMPION
730298:Faker,Darius,HAS_CHAMPION
730298:Bang,Lulu,HAS_CHAMPION
730298:Wolf,Shen,HAS_CHAMPION
730298:Kiin,Aatrox,HAS_CHAMPION
730298:Spirit,Trundle,HAS_CHAMPION
730298:Kuro,Vladimir,HAS_CHAMPION
730298:Aiming,Yasuo,HAS_CHAMPION
730298:TusiN,Rakan,HAS_CHAMPION
730300:Smeb,Dr. Mundo,HAS_CHAMPION
730300:Rush,Nocturne,HAS_CHAMPION
730300:Ucal,Zoe,HAS_CHAMPION
730300:Deft,Ashe,HAS_CHAMPION
730300:Mata,Tahm Kench,HAS_CHAMPION
730300:SoHwan,Darius,HAS_CHAMPION
730300:UmTi,Olaf,HAS_CHAMPION
730300:Grace,LeBlanc,HAS_CHAMPION
730300:Teddy,Lucian,HAS_CHAMPION
730300:Nova,Shen,HAS_CHAMPION
730320:SoHwan,Irelia,HAS_CHAMPION
730320:UmTi,Nunu,HAS_CHAMPION
730320:Grace,Karthus,HAS_CHAMPION
730320:Teddy,KaiSa,HAS_CHAMPION
730320:Nova,Morgana,HAS_CHAMPION
730320:Smeb,Singed,HAS_CHAMPION
730320:Rush,Nocturne,HAS_CHAMPION
730320:Ucal,Lulu,HAS_CHAMPION
730320:Deft,Mordekaiser,HAS_CHAMPION
730320:Mata,Ornn,HAS_CHAMPION
730427:Lindarang,Ornn,HAS_CHAMPION
730427:SeongHwan,Nocturne,HAS_CHAMPION
730427:Lava,Taliyah,HAS_CHAMPION
730427:Sangyoon,Ryze,HAS_CHAMPION
730427:Key,Tahm Kench,HAS_CHAMPION
730427:Crazy,Shen,HAS_CHAMPION
730427:Bono,Camille,HAS_CHAMPION
730427:Tempt,Zoe,HAS_CHAMPION
730427:Aries,Vladimir,HAS_CHAMPION
730427:IgNar,Pyke,HAS_CHAMPION
730432:Crazy,Camille,HAS_CHAMPION
730432:Bono,Nunu,HAS_CHAMPION
730432:Tempt,Karthus,HAS_CHAMPION
730432:Aries,Vladimir,HAS_CHAMPION
730432:IgNar,Shen,HAS_CHAMPION
730432:Lindarang,Darius,HAS_CHAMPION
730432:SeongHwan,Olaf,HAS_CHAMPION
730432:Lava,Lulu,HAS_CHAMPION
730432:Sangyoon,Ryze,HAS_CHAMPION
730432:Key,Soraka,HAS_CHAMPION
730434:ADD,Singed,HAS_CHAMPION
730434:Yondu,Camille,HAS_CHAMPION
730434:Ian,Zoe,HAS_CHAMPION
730434:MaHa,Ezreal,HAS_CHAMPION
730434:Max,Galio,HAS_CHAMPION
730434:Sword,Gangplank,HAS_CHAMPION
730434:Tarzan,Nocturne,HAS_CHAMPION
730434:Rather,Lulu,HAS_CHAMPION
730434:Viper,Vladimir,HAS_CHAMPION
730434:Lehends,Alistar,HAS_CHAMPION
730434:Broken Blade,Jayce,HAS_CHAMPION
730434:Closer,Master Yi,HAS_CHAMPION
730434:Abbedagge,Taric,HAS_CHAMPION
730434:Freeze,Ezreal,HAS_CHAMPION
730434:Dumbledoge,Rakan,HAS_CHAMPION
730434:Hioss,Malphite,HAS_CHAMPION
730434:Wisdom,Graves,HAS_CHAMPION
730434:Naru,Braum,HAS_CHAMPION
730434:Rain,Yasuo,HAS_CHAMPION
730434:Rogu,Alistar,HAS_CHAMPION
730459:Sword,Dr. Mundo,HAS_CHAMPION
730459:Tarzan,Camille,HAS_CHAMPION
730459:Chovy,Zoe,HAS_CHAMPION
730459:Viper,Vladimir,HAS_CHAMPION
730459:Lehends,Morgana,HAS_CHAMPION
730459:ADD,Gangplank,HAS_CHAMPION
730459:Yondu,Nocturne,HAS_CHAMPION
730459:Ian,Lulu,HAS_CHAMPION
730459:Pilot,Lucian,HAS_CHAMPION
730459:Motive,Braum,HAS_CHAMPION
1002530085:Odoamne,Chogath,HAS_CHAMPION
1002530085:Xerxe,Trundle,HAS_CHAMPION
1002530085:Nisqy,Irelia,HAS_CHAMPION
1002530085:Kobbe,KaiSa,HAS_CHAMPION
1002530085:kaSing,Soraka,HAS_CHAMPION
1002530085:Cabochard,Aatrox,HAS_CHAMPION
1002530085:Gilius,Skarner,HAS_CHAMPION
1002530085:Jiizuke,Zoe,HAS_CHAMPION
1002530085:Attila,Heimerdinger,HAS_CHAMPION
1002530085:Jactroll,Fiddlesticks,HAS_CHAMPION
1002530088:Smittyj,Ornn,HAS_CHAMPION
1002530088:Shook,Nocturne,HAS_CHAMPION
1002530088:Selfie,Zoe,HAS_CHAMPION
1002530088:Sheriff,Karma,HAS_CHAMPION
1002530088:promisq,Soraka,HAS_CHAMPION
1002530088:Ruin,Poppy,HAS_CHAMPION
1002530088:Djoko,Taliyah,HAS_CHAMPION
1002530088:Betsy,Azir,HAS_CHAMPION
1002530088:Steeelback,Lucian,HAS_CHAMPION
1002530088:SirNukesAlot,Tahm Kench,HAS_CHAMPION
1002530090:Vizicsacsi,Chogath,HAS_CHAMPION
1002530090:Amazing,Camille,HAS_CHAMPION
1002530090:Nukeduck,Kayle,HAS_CHAMPION
1002530090:Upset,Ezreal,HAS_CHAMPION
1002530090:Vander,Braum,HAS_CHAMPION
1002530090:WhiteKnight,Aatrox,HAS_CHAMPION
1002530090:Kold,Trundle,HAS_CHAMPION
1002530090:Exileh,Yasuo,HAS_CHAMPION
1002530090:Samux,Lucian,HAS_CHAMPION
1002530090:Totoro,Tahm Kench,HAS_CHAMPION
1002530092:Wunder,Dr. Mundo,HAS_CHAMPION
1002530092:Jankos,Trundle,HAS_CHAMPION
1002530092:Perkz,Zoe,HAS_CHAMPION
1002530092:Hjarnan,Heimerdinger,HAS_CHAMPION
1002530092:Wadid,Fiddlesticks,HAS_CHAMPION
1002530092:Profit,Ornn,HAS_CHAMPION
1002530092:Memento,Hecarim,HAS_CHAMPION
1002530092:Blanc,Yasuo,HAS_CHAMPION
1002530092:HeaQ,Xayah,HAS_CHAMPION
1002530092:Norskeren,Rakan,HAS_CHAMPION
1002530095:sOAZ,Chogath,HAS_CHAMPION
1002530095:Broxah,Taric,HAS_CHAMPION
1002530095:Caps,KaiSa,HAS_CHAMPION
1002530095:Rekkles,Janna,HAS_CHAMPION
1002530095:Hylissang,Rakan,HAS_CHAMPION
1002530095:Alphari,Shen,HAS_CHAMPION
1002530095:Maxlore,Camille,HAS_CHAMPION
1002530095:Sencux,Lulu,HAS_CHAMPION
1002530095:Hans Sama,Draven,HAS_CHAMPION
1002530095:Mikyx,Morgana,HAS_CHAMPION
720640:SoHwan,Ornn,HAS_CHAMPION
720640:UmTi,Nidalee,HAS_CHAMPION
720640:Grace,Zoe,HAS_CHAMPION
720640:Teddy,Lucian,HAS_CHAMPION
720640:Nova,Rakan,HAS_CHAMPION
720640:Khan,Dr. Mundo,HAS_CHAMPION
720640:Cuzz,Graves,HAS_CHAMPION
720640:Bdd,Braum,HAS_CHAMPION
720640:PraY,Ashe,HAS_CHAMPION
720640:GorillA,Lulu,HAS_CHAMPION
720646:Khan,Dr. Mundo,HAS_CHAMPION
720646:Peanut,Nidalee,HAS_CHAMPION
720646:Bdd,Irelia,HAS_CHAMPION
720646:PraY,Ezreal,HAS_CHAMPION
720646:GorillA,Soraka,HAS_CHAMPION
720646:SoHwan,Ornn,HAS_CHAMPION
720646:UmTi,Graves,HAS_CHAMPION
720646:Grace,Braum,HAS_CHAMPION
720646:Teddy,Ryze,HAS_CHAMPION
720646:Nova,Leona,HAS_CHAMPION
720648:SoHwan,Dr. Mundo,HAS_CHAMPION
720648:KaKAO,Camille,HAS_CHAMPION
720648:Grace,Ryze,HAS_CHAMPION
720648:Teddy,Draven,HAS_CHAMPION
720648:Nova,Rakan,HAS_CHAMPION
720648:Khan,Darius,HAS_CHAMPION
720648:Peanut,Nocturne,HAS_CHAMPION
720648:Bdd,Taliyah,HAS_CHAMPION
720648:PraY,Lucian,HAS_CHAMPION
720648:GorillA,Lulu,HAS_CHAMPION
720662:CuVee,Ryze,HAS_CHAMPION
720662:Haru,Xin Zhao,HAS_CHAMPION
720662:Fly,Zoe,HAS_CHAMPION
720662:Ruler,Xayah,HAS_CHAMPION
720662:CoreJJ,Rakan,HAS_CHAMPION
720662:Thal,Dr. Mundo,HAS_CHAMPION
